data_hora,run_id,origem,passo,modelo,tokens_entrada,tokens_saida,custo_usd,segundos,status
2026-09-20 01:50:43,20260920-015034-f1f3,relatorio,1,openai/gemini-3-flash-preview,10080,1079,0.008277,8.28,ok
2026-09-20 01:59:16,,relatorio,1,openai/gemini-3-flash-preview,10080,928,0.007824,7.52,ok
2026-09-20 02:14:13,20260920-021407-5b4d,agente,1,openai/gemini-3-flash-preview,9948,112,0.00531,3.51,ok
2026-09-20 02:16:24,20260920-021611-2743,agente,1,openai/gemini-3-flash-preview,10620,842,0.007836,9.91,ok
2026-09-20 02:16:30,20260920-021611-2743,agente,2,openai/gemini-3-flash-preview,11242,575,0.007346,6.02,ok
2026-09-20 02:16:34,20260920-021611-2743,agente,3,openai/gemini-3-flash-preview,11412,17,0.005757,3.55,ok
2026-09-20 02:16:39,20260920-021611-2743,agente,4,openai/gemini-3-flash-preview,11583,527,0.007372,5.45,ok
2026-09-20 02:16:46,20260920-021611-2743,agente,5,openai/gemini-3-flash-preview,11753,760,0.008157,6.78,ok
2026-09-20 11:32:55,20260920-113248-7780,agente,1,openai/gemini-3-flash-preview,10620,429,0.006597,5.31,ok
2026-09-20 11:33:00,20260920-113248-7780,agente,2,openai/gemini-3-flash-preview,11242,595,0.007406,4.53,ok
2026-09-20 11:33:02,20260920-113248-7780,agente,3,openai/gemini-3-flash-preview,11412,17,0.005757,2.36,ok
2026-09-20 11:33:08,20260920-113248-7780,agente,4,openai/gemini-3-flash-preview,11583,578,0.007526,5.54,ok
2026-09-20 11:33:15,20260920-113248-7780,agente,5,openai/gemini-3-flash-preview,11753,794,0.008259,6.84,ok
2026-09-20 11:33:23,20260920-113248-7780,agente,6,openai/gemini-3-flash-preview,11923,1327,0.009942,8.64,ok
2026-09-20 12:32:47,20260920-123238-cf0e,agente,1,openai/gemini-3-flash-preview,10760,585,0.007135,6.87,ok
2026-09-20 12:32:52,20260920-123238-cf0e,agente,2,openai/gemini-3-flash-preview,11423,272,0.006528,4.97,ok
2026-09-20 12:32:55,20260920-123238-cf0e,agente,3,openai/gemini-3-flash-preview,11642,67,0.006022,2.59,ok
2026-09-20 12:33:00,20260920-123238-cf0e,agente,4,openai/gemini-3-flash-preview,11863,462,0.007318,5.04,ok
2026-09-20 12:33:49,20260920-123238-cf0e,agente,5,openai/gemini-3-flash-preview,12083,819,0.008499,49.25,ok
2026-09-20 12:34:00,20260920-123238-cf0e,agente,6,openai/gemini-3-flash-preview,12310,1381,0.010298,10.91,ok
2026-09-20 12:34:20,20260920-123411-dcb2,agente,1,openai/gemini-3-flash-preview,10841,511,0.006953,6.44,ok
2026-09-20 12:34:22,20260920-123411-dcb2,agente,2,openai/gemini-3-flash-preview,11497,62,0.005934,2.16,ok
2026-09-20 12:34:28,20260920-123411-dcb2,agente,3,openai/gemini-3-flash-preview,11712,539,0.007473,5.49,ok
2026-09-20 12:34:34,20260920-123411-dcb2,agente,4,openai/gemini-3-flash-preview,11931,699,0.008063,6.42,ok
2026-09-20 12:35:27,20260920-123411-dcb2,agente,5,openai/gemini-3-flash-preview,12154,1637,0.010988,53.33,ok
2026-09-20 12:35:47,20260920-123411-dcb2,agente,6,openai/gemini-3-flash-preview,12380,2679,0.014227,19.69,ok
2026-09-20 12:35:53,20260920-123547-90c9,agente,1,openai/gemini-3-flash-preview,10841,509,0.006947,5.87,ok
2026-09-20 12:35:59,20260920-123547-90c9,agente,2,openai/gemini-3-flash-preview,11501,831,0.008244,6.28,ok
2026-09-20 12:36:01,20260920-123547-90c9,agente,3,openai/gemini-3-flash-preview,11716,61,0.006041,2.14,ok
2026-09-20 12:36:08,20260920-123547-90c9,agente,4,openai/gemini-3-flash-preview,11931,568,0.00767,6.51,ok
2026-09-20 12:36:57,20260920-123547-90c9,agente,5,openai/gemini-3-flash-preview,12148,1153,0.009533,49.18,ok
2026-09-20 12:37:15,20260920-123547-90c9,agente,6,openai/gemini-3-flash-preview,12368,2385,0.013339,17.65,ok
2026-09-20 12:37:21,20260920-123715-e3b1,agente,1,openai/gemini-3-flash-preview,10841,551,0.007073,5.81,ok
2026-09-20 12:37:27,20260920-123715-e3b1,agente,2,openai/gemini-3-flash-preview,11500,575,0.007475,6.1,ok
2026-09-20 12:37:29,20260920-123715-e3b1,agente,3,openai/gemini-3-flash-preview,11710,56,0.006023,2.1,ok
2026-09-20 12:37:34,20260920-123715-e3b1,agente,4,openai/gemini-3-flash-preview,11920,445,0.007295,5.47,ok
2026-09-20 12:37:46,20260920-123715-e3b1,agente,5,openai/gemini-3-flash-preview,12141,1001,0.009073,11.9,ok
2026-09-20 12:37:51,20260920-123715-e3b1,agente,6,openai/gemini-3-flash-preview,12352,282,0.007022,4.93,ok
